prize_id,prize_alias,prize_name,prize_institution,prize_year,prize_genre,person_id,person_role,last_name,first_name,name,gender,sexuality,uk_residence,ethnicity_macro,ethnicity,highest_degree,degree_institution,degree_field_category,degree_field,viaf,book_id,book_title,decade
8,Booker Prize,Booker Prize,Booker Foundation,1991,fiction,0294,shortlisted,Amis,Martin,"Amis, Martin",Male,unknown,UK,White British,English,Bachelors,University of Oxford,Language and Literature,English Literature,36913662,00005,Time's Arrow,1990
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,1991,fiction,0033,winner,Boyd,William,"Boyd, William",Male,unknown,UK,White British,British,unknown,University of Oxford,Language and Literature,English Literature,111500719,00036,Brazzaville Beach,1990
3,Costa First Novel Award,Whitbread First Novel,Whitbread,1991,fiction,0167,winner,Burn,Gordon,"Burn, Gordon",Male,unknown,UK,White British,English,none,none,none,none,51988764,00042,Alma Cogan,1990
8,Booker Prize,Booker Prize,Booker Foundation,1991,fiction,0286,shortlisted,Doyle,Roddy,"Doyle, Roddy",Male,unknown,Non-UK,Irish,Irish,Bachelors,University College Dublin,Multiple,English and Geography,17301306,00077,The Van,1990
4,Costa Novel Award,Whitbread Novel,Whitbread,1991,fiction,0168,winner,Gardam,Jane,"Gardam, Jane",Female,unknown,UK,White British,English,Bachelors,University of London,Language and Literature,English Literature,70213168,00114,The Queen of the Tambourine,1990
7,Costa Children's Book Award,Whitbread Children's Novel,Whitbread,1991,children's,0170,winner,Hendry,Diana,"Hendry, Diana",Female,unknown,UK,White British,English,unknown,University of Bristol,unknown,unknown,117170358,00138,Harvey Angell,1990
6,Costa Poetry Award,Whitbread Poetry,Whitbread,1991,poetry,0169,winner,Longley,Michael,"Longley, Michael",Male,unknown,UK,White British,Northern Irish,Bachelors,"Trinity College, Dublin",Language and Literature,Classics,39398205,00182,Gorse Fires,1990
8,Booker Prize,Booker Prize,Booker Foundation,1991,fiction,0260,shortlisted,Mistry,Rohinton,"Mistry, Rohinton",Male,unknown,Non-UK,Asian,Indian Canadian,Bachelors,Bombay University/University of Toronto,Multiple,Mathematics and Economics/English and Philosophy,29581388,00225,Such a Long Journey,1990
8,Booker Prize,Booker Prize,Booker Foundation,1991,fiction,0023,shortlisted,Mo,Timothy,"Mo, Timothy",Male,unknown,UK,Asian,Cantonese British,Bachelors,University of Oxford,unknown,unknown,76339491,00229,The Redundancy of Courage,1990
8,Booker Prize,Booker Prize,Booker Foundation,1991,fiction,0293,winner,Okri,Ben,"Okri, Ben",Male,unknown,Non-UK,African,Nigerian British,Bachelors,Queen's University,unknown,unknown,76380613,00251,The Famished Road,1990
2,Costa Book of the Year,Whitbread Book of the Year,Whitbread,1991,no/any/multi genre,0166,winner,Richardson,John,"Richardson, John",Male,queer,UK,White British,British,unknown,Slade School of Art,unknown,unknown,109464483,00270,A Life of Picasso I: The Prodigy,1990
5,Costa Biography Award,Whitbread Biography,Whitbread,1991,biography,0166,winner,Richardson,John,"Richardson, John",Male,queer,UK,White British,British,unknown,Slade School of Art,unknown,unknown,109464483,00270,A Life of Picasso I: The Prodigy,1990
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,1991,sff,0512,winner,Simmons,Dan,"Simmons, Dan",Male,unknown,Non-UK,Non-UK White,White American,Masters,Washington University,Education,Education,107011235,00659,The Fall of Hyperion,1990
8,Booker Prize,Booker Prize,Booker Foundation,1991,fiction,0153,shortlisted,Trevor,William,"Trevor, William",Male,unknown,UK,Irish,Irish,Bachelors,"Trinity College, Dublin",History and Cultural Studies,History,101362985,00339,Reading Turgenev,1990
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,1991,crime,0490,winner,Vine,Barbara,"Vine, Barbara",Female,unknown,UK,White British,British,none,none,none,none,98146313,00626,King Solomon's Carpet,1990
7,Costa Children's Book Award,Whitbread Children's Novel,Whitbread,1992,children's,0165,winner,Cross,Gillian,"Cross, Gillian",Female,unknown,UK,White British,British,Doctorate,University of Sussex,unknown,unknown,13038315,00063,The Great Elephant Chase,1990
